r1bqkb1r/pp1ppp2/2p2n2/4n1pp/1PP2PQP/P2PP2N/5KP1/RNB2B1R b kq - 0 2
rnbqkbnr/ppppp1pp/5p2/8/2P2P2/N7/PP1PP1PP/R1BQKBNR b KQkq - 1 1
rnbqkb1r/2pppppp/1p5n/p7/P1N5/8/1PPPPPPP/1RBQKBNR w Kkq - 0 2
rnbqkbnr/ppp1p1p1/5p1p/3p4/2P2PP1/P6P/1P1PP3/RNBQKBNR w KQkq - 0 2
r1bqkb1r/1p1pppp1/p1p2n2/7p/2P2P1P/P3P2N/1PQ3P1/RNB1KB1R w KQkq - 0 2
rnbqkb1r/p1pppppp/7n/Pp6/8/N7/1PPPPPPP/R1BQKBNR w KQkq b6 0 2
1rbqkb1r/pppppppp/5n2/4n3/2P2P2/P2P3P/1P1QPKP1/RNB2BNR b k - 3 2
rnbqkb1r/pppppp1p/5n2/6p1/2P3P1/1P6/P2PPP1P/RNBQKBNR b KQkq - 0 2
rnbqkbnr/ppp1p1p1/5p1p/3p4/2P2PPP/P7/1P1PP3/RNBQKBNR b KQkq - 0 2
rnbqkbnr/ppppp1p1/5p1p/8/2P2P1P/8/PP1PP1P1/RNBQKBNR w KQkq - 0 2
r1bqkb1r/pppppp1p/2n2np1/8/2P2P2/3P3P/PP2P1P1/RNBQKBNR w KQkq - 0 2
rnbqkbnr/ppppp2p/5p2/6p1/2P2P2/7P/PP1PP1P1/RNBQKBNR w KQkq - 0 2
r1bqkb1r/ppppppp1/8/4n2p/2P1nP1P/P2PK3/1P2P1PR/RNBQ1BN1 b kq - 3 2
r1bqkb1r/pp1ppp2/2p2n2/6pp/2P2P1P/P3P3/1P2N1P1/RNBQKB1R b KQkq - 1 2
r1b1kb1r/pp1pppp1/2p2n2/q3n2p/2P2P1P/P2PP2N/1P1N2P1/R1BQKB1R b kq - 3 2
r1bqkb1r/ppppppp1/5n2/4n3/2P2PpP/P2P4/1P2PK2/RNBQ1BNR w kq - 0 2
rnbqkbnr/ppp1p1pp/3p1p2/8/P1P2PP1/8/1P1PP2P/RNBQKBNR b KQkq - 0 2
rnbqkb1r/1p1ppppp/2p4n/p7/P1N3P1/8/1PPPPP1P/R1BQKBNR w KQkq - 0 2
rnbqkb1r/p1pppppp/1p5n/8/PP6/N4P2/2PPP1PP/R1BQKBNR b KQkq - 0 2
r1bqkb1r/ppppppp1/8/4n2p/2P1nP1P/P2PK3/1P2P1P1/RNBQ1BNR w kq - 2 2
r1bqkb1r/p2pppp1/2p2n2/1p3P1p/2P4P/P3P2N/1P1N2P1/R1BQKB1R b KQkq - 0 2
rnbqkb1r/1pppp1pp/5p1n/p7/PPN5/3P4/2P1PPPP/R1BQKBNR b KQkq - 0 2
r1bqkb1r/ppppppp1/5n2/4n2p/2P2P1P/P2P4/1P2PKP1/RNB1QBNR b kq - 1 1
r1bqkb1r/pppppp1p/2n2n2/6p1/2P1PPQ1/7P/PP1P2P1/RNB1KBNR b KQkq - 1 2
r1bqkb1r/pp1pppp1/2p2n2/4n2p/2P2P1P/PP1P4/4PKP1/RNBQ1BNR w kq - 0 2
r1bqkb1r/pp1pppp1/2p2n2/7p/2P2P1P/P1NnP2N/1P3KP1/R1BQ1B1R w kq - 0 2
r1b1kb1r/pp1ppppN/1qp2n2/4n2p/2P2P1P/P2PP3/1P3KP1/RNBQ1B1R b kq - 3 2
rnbqkbnr/ppp1p1pp/5p2/3p4/2P2P2/1P6/P2PP1PP/RNBQKBNR w KQkq - 0 2
r1b1kb1r/pp1pppp1/1qp2n2/7p/2P2P1P/P3P3/1PQ2NP1/RNB1KB1R b KQkq - 3 2
r1bqkb1r/pp1ppp2/2p2np1/7p/1PP2P1P/P3P2N/6PR/RNBQKB2 b Qkq - 0 2
r1bqkb1r/pppppppp/5n2/n1P5/5P2/5N1P/PP1PP1P1/RNBQKB1R b KQkq - 0 2
r1bqkb1r/pppppppp/8/4n3/Q1P2Pn1/PP1P3P/4P1P1/RNB1KBNR b KQkq - 0 2
r1bqkb1r/pp1pppp1/2p5/7p/2P1nPPP/P3P2N/1P1B4/RN1QKB1R b KQkq - 0 2
r1bqkb1r/pp1p1pp1/2p1pn2/7p/2P2P1P/P3P2N/1P2Q1P1/RNB1KB1R b KQkq - 1 2
r1bqkb1r/pppppppp/5n2/8/1PPn1PP1/7P/P2PP3/RNBQKBNR b KQkq - 0 2
rnbqkbnr/1ppppppp/p7/8/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2
rnbqkb1r/p1pppppp/1p1N3n/8/P7/8/1PPPPPPP/R1BQKBNR b KQkq - 1 2
r1bqkbnr/pp1pppp1/2p5/7p/2P2P1P/P3P2N/1P2Q1PR/RNB1KB2 b Qkq - 3 2
rnbqkb1r/1pppp1pp/5p1n/p7/P1N5/3P4/1PP1PPPP/R1BQKBNR w KQkq - 0 2
r1bqkb1r/ppp1pppp/2np1n2/8/2P2PP1/7P/PP1PP3/RNBQKBNR w KQkq - 0 2
r1bqkb1r/ppppppp1/2n2n1p/5P2/2P5/P6P/1P1PP1P1/RNBQKBNR b KQkq - 0 2
rnbqkbnr/ppp1p1p1/5p1p/3p3Q/2P1PP2/P6P/1P1P2P1/RNB1KBNR b KQkq - 1 2
rnbqkbnr/ppp1p1pp/5p2/8/2p2P2/P6P/1PQPP1P1/RNB1KBNR w KQkq - 0 2
r1bqkb1r/pp1pppp1/2p5/3n2Np/2P2P1P/P3P3/1P2Q1P1/RNB1KB1R b KQkq - 3 2
r1bqkb1r/pp2ppp1/2p2n2/3p3p/2P2P1P/P3P2N/1P1Q2P1/RNB1KB1R b KQkq - 1 2
rnbqkb1r/1ppp1ppp/7B/p3p3/P1NP4/8/1PP1PPPP/R2QKBNR b KQkq - 0 2
1rbqkb1r/ppppppp1/5n2/4n2p/2P2P1P/P2PK1P1/1P2P3/RNBQ1BNR b k - 0 2
r1bqkb1r/pppppp1p/5np1/4n3/2P1PP2/P2P3P/1P4P1/RNBQKBNR w KQkq - 0 2
r1bqkb1r/pp1pppp1/2p2n2/7p/2n2P1P/PP1PP2N/R4KP1/1NBQ1B1R b kq - 0 2
r1bqkb1r/pp1pppp1/2p5/4n2p/2P2PnP/P2PP2N/1P2BKP1/RNBQ3R w kq - 2 2
rnbqkb1r/pppppp1p/6pn/8/P7/NP6/2PPPPPP/R1BQKBNR w KQkq - 0 2
r1bqkb1r/pp1ppp2/2p2np1/7p/2P2P1P/P2QP2N/1P4PR/RNB1KB2 b Qkq - 1 2
r1bqkb1r/pppppppp/5nn1/2P5/5P2/P2PP2P/1P4P1/RNBQKBNR b KQkq - 0 2
rnbqkb1r/pppp1ppp/4p2n/8/P7/R7/1PPPPPPP/1NBQKBNR b Kkq - 1 2
rnbqkb1r/2pppppp/1p5n/p7/P1N5/8/1PPPPPPP/R1BQKBNR b Kkq - 1 2
r1bqkb1r/pp1p1pp1/2p1pn2/4n1Np/2P2P1P/P2PP3/1P2K1P1/RNBQ1B1R b kq - 1 2
r1bqkb1r/pp1pppp1/2p5/7p/2P2PnP/P3P2N/1P1BQ1P1/RN2KB1R b KQkq - 3 2
r1bqkb1r/pp1pppp1/2p2n2/7p/P1P2PnP/3PP1KN/1P4P1/RNBQ1B1R b kq - 0 2
r1bqkb1r/ppp1pppp/2n2n2/3p4/2P2P2/2N4P/PP1PP1P1/R1BQKBNR w KQkq - 0 2
rnbqkb1r/1p1ppppp/7n/p1p5/P1N5/3P4/1PP1PPPP/R1BQKBNR w KQkq - 0 2
rnbqkb1r/1ppppppp/7n/p7/P1N5/7N/1PPPPPPP/R1BQKB1R b KQkq - 1 2
r1bqkb1r/1p1pppp1/p1p2n2/4nP1p/2P4P/P2PP2N/1P4P1/RNBQKB1R b kq - 0 2
rnbqkb1r/pp1ppppp/5n2/2p5/2P2P2/8/PP1PP1PP/RNBQKBNR w KQkq - 0 2
rnbqkb1r/1ppppppp/8/p4n2/P1N5/6P1/1PPPPP1P/R1BQKBNR w KQkq - 1 2
r1bqkb1r/pp1pppp1/2p2n2/4n2p/2P2P1P/P2PP2N/1P2QKP1/RNB2B1R b kq - 1 1
r1bqkb1r/pp1ppppn/2p5/4n1Np/2P2P1P/P2PPQ2/1P3KP1/RNB2B1R b kq - 3 2
r1bqkb1r/pppppp2/5n2/4n1pp/2P2P1P/PP1P4/4PKP1/RNBQ1BNR w kq - 0 2
r1bqkb1r/1ppppppp/5n2/p1P1n3/5P1P/P2P4/1P2P1P1/RNBQKBNR b KQkq - 0 2
rnbqkb1r/ppppppp1/5n1p/2P5/8/P7/1P1PPPPP/RNBQKBNR b KQkq - 0 2
r1bqkb1r/pppppppp/2n5/7n/2P2P2/P6P/1P1PP1P1/RNBQKBNR w KQkq - 1 2
r1b1kb1r/pp1pppp1/2p2n2/q1P1n2p/5P1P/P2PP2N/1P1Q1KP1/RNB2B1R b kq - 2 2
r1bqkb1r/pp1pppp1/2p5/3nn2p/2P2PPP/P2PP2N/1P2QK2/RNB2B1R b kq - 0 2
r1b1kb1r/pp1pppp1/2p2n2/q6p/2P2P1P/P1NBP2N/1P4P1/R1BQK2R b KQkq - 3 2
r1bqkb1r/pp1pppp1/2p2n2/7p/2P2P1P/P2BP2N/1P4P1/RNBQK2R b KQkq - 1 1
r1bqkb1r/p2pppp1/2p2n2/1p2nP1p/2P4P/P2PP2N/1P3KP1/RNB1QB1R b kq - 1 2
r1bqkb1r/pp1pppp1/2p5/7p/2P1nP1P/P3P2N/1P2Q1P1/RNB1KB1R w KQkq - 2 2
r1bqkbr1/pp1pppp1/2p2n2/4n2p/2P2P1P/P2PP2N/1P3KP1/RNBQ1B1R b q - 3 2
r1bqkb1r/pp1pppp1/5n2/2p4p/2P2P1P/P1N1P3/1P4P1/R1BQKBNR b KQkq - 1 2
r1bqkbnr/pp1pppp1/2p5/7p/2P2PPP/P2BP2N/1P6/RNBQK2R b KQkq - 0 2
r1bqkb2/ppppppp1/5n1r/4n2p/2P2P1P/P2PP3/1P3KP1/RNBQ1BNR w q - 1 2
rnbqkb1r/1p1ppppp/2p4n/p7/P1N5/R7/1PPPPPPP/2BQKBNR w Kkq - 0 2
rnbqkb1r/pppppp1p/7n/6p1/P7/5N2/1PPPPPPP/RNBQKB1R b KQkq - 1 2
rnbqkb1r/ppp1pppp/7n/3p4/P1N3P1/8/1PPPPP1P/R1BQKBNR b KQkq - 0 2
rnbqkb1r/2pppppp/7n/pp6/P1N5/5P2/1PPPP1PP/R1BQKBNR w KQkq - 0 2
r1bqkbnr/pp1pppp1/2p1N3/4n2p/2P2P1P/P2PP3/1P3KP1/RNBQ1B1R b kq - 3 2
r1bqkb1r/pp1pppp1/2p2nn1/7p/2PP1P1P/P3P2N/1P3KP1/RNBQ1B1R w kq - 1 2
r1bqkb2/pppppppr/5n2/4n2p/P1P2P1P/3P1N2/1P2PKP1/RNBQ1B1R b q - 0 2
r1bqkb1r/ppppppp1/5n2/4n2p/2P2P1P/P2P4/1P2P1P1/RNBQKBNR w KQkq - 0 2
r1bqkb1r/pp2ppp1/2pp1n2/7p/2P2P1P/P3P2N/1P4P1/RNBQKBR1 w Qkq - 0 2
